 INVESTIGAÇÃO DE LEPTOSPIROSE - Sinan NET
Notificacao por Bairro Resid e Fx Etaria SINAN
Class. Final: Confirmado
Período:2015
"Bairro Resid";"20-34";"35-49";"Total"
"1        AREA ABRANG CS CONCEICAO";1;0;1
"7        AREA ABRANG CS INTEGRACAO";0;1;1
"23       AREA ABRANG CS DIC I";1;0;1
"24       AREA ABRANG CS DIC III";1;0;1
"25       AREA ABRANG CS EULINA";0;1;1
"32       AREA ABRANG CS SOUSAS";0;1;1
"34       AREA ABRANG CS PEDRO DE AQUINO";1;0;1
"36       AREA ABRANG CS SAO MARCOS";2;1;3
"50       AREA ABRANG CS ROSSIN";0;1;1
"65       AREA ABRANG CS VILLAGE";0;1;1
"68       AREA ABRANG CS FERNANDA";0;1;1
"Total";6;7;13
