 INVESTIGAÇÃO DE SÍFILIS CONGENITA - Sinan NET
Notificacao por Bairro Resid e Fx Etaria SINAN
Diagnóstico Final: Sífilis Congênita Recente, Sífilis Congênita Tardia, Aborto, Natimorto
Período:2015
"Bairro Resid";"<1 Ano";"Total"
"8        AREA ABRANG CS UNIAO BAIRROS";2;2
"10       AREA ABRANG CS SANTA LUCIA";1;1
"11       AREA ABRANG CS FIGUEIRA";1;1
"15       AREA ABRANG CS TANCREDO NEVES";3;3
"16       AREA ABRANG CS SAO JOSE";1;1
"18       AREA ABRANG CS VISTA ALEGRE";1;1
"19       AREA ABRANG CS VALENCA";2;2
"20       AREA ABRANG CS CAPIVARI";2;2
"22       AREA ABRANG CS FLORENCE";4;4
"23       AREA ABRANG CS DIC I";1;1
"24       AREA ABRANG CS DIC III";1;1
"25       AREA ABRANG CS EULINA";3;3
"26       AREA ABRANG CS FARIA LIMA";2;2
"29       AREA ABRANG CS TAQUARAL";2;2
"31       AREA ABRANG CS ANCHIETA";1;1
"34       AREA ABRANG CS PEDRO DE AQUINO";1;1
"35       AREA ABRANG CS IPAUSSURAMA";2;2
"36       AREA ABRANG CS SAO MARCOS";2;2
"37       AREA ABRANG CS SAO CRISTOVAO";2;2
"39       AREA ABRANG CS IPE";1;1
"40       AREA ABRANG CS PARANAPANEMA";2;2
"42       AREA ABRANG CS FLORESTA";3;3
"43       AREA ABRANG CS SAO DOMINGOS";2;2
"46       AREA ABRANG CS SANTO ANTONIO";1;1
"48       AREA ABRANG CS ITAJAI";1;1
"47       AREA ABRANG CS CARVALHO MOURA";2;2
"60       AREA ABRANG CS SATELITE IRIS I";1;1
"64       AREA ABRANG CS BOA ESPERANCA";1;1
"67       AREA ABRANG CS CAMPO BELO";2;2
"68       AREA ABRANG CS FERNANDA";1;1
"Total";51;51
