 NOTIFICAÇÃO/INVESTIGAÇÃO DENGUE - Sinan NET / Sinan Online
Notificacao por Bairro Resid e Fx Etaria SINAN
Classific Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue
Período:2013
"Bairro Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"1        AREA ABRANG CS CONCEICAO";1;1;5;4;7;19;25;9;6;0;77
"2        AREA ABRANG CS VILA RICA";0;1;1;2;2;7;6;4;3;0;26
"3        AREA ABRANG CS OROSIMBO MAIA";0;0;0;0;0;3;5;1;0;0;9
"4        AREA ABRANG CS COSTA E SILVA";3;2;3;3;4;42;23;20;8;1;109
"5        AREA ABRANG CS PERSEU L.BARROS";0;1;3;5;6;25;10;16;0;0;66
"6        AREA ABRANG CS SANTA MONICA";1;3;3;12;25;106;41;18;6;1;216
"7        AREA ABRANG CS INTEGRACAO";0;1;1;6;6;28;37;22;7;0;108
"8        AREA ABRANG CS UNIAO BAIRROS";0;3;2;9;23;45;27;16;5;0;130
"9        AREA ABRANG CS ESMERALDINA";0;0;0;1;1;1;0;1;0;0;4
"10       AREA ABRANG CS SANTA LUCIA";0;1;5;9;6;42;14;13;3;1;94
"11       AREA ABRANG CS FIGUEIRA";0;0;1;2;2;3;4;4;1;0;17
"12       AREA ABRANG CS SAO QUIRINO";1;2;5;8;17;78;56;21;5;2;195
"13       AREA ABRANG CS AEROPORTO";2;2;4;10;15;39;42;22;6;0;142
"14       AREA ABRANG CS BOA VISTA";0;0;0;3;1;5;11;4;0;1;25
"15       AREA ABRANG CS TANCREDO NEVES";2;1;2;5;14;55;45;28;3;1;156
"16       AREA ABRANG CS SAO JOSE";1;2;3;5;6;38;24;15;4;2;100
"17       AREA ABRANG CS SAO VICENTE";0;0;1;0;1;3;6;1;0;0;12
"18       AREA ABRANG CS VISTA ALEGRE";2;0;6;3;12;31;19;14;0;0;87
"19       AREA ABRANG CS VALENCA";1;4;4;25;16;72;32;32;6;1;193
"20       AREA ABRANG CS CAPIVARI";0;1;0;3;4;21;13;6;1;0;49
"21       AREA ABRANG CS 31 DE MARCO";0;0;0;0;0;3;2;1;0;0;6
"22       AREA ABRANG CS FLORENCE";2;6;17;47;52;155;106;48;21;1;455
"23       AREA ABRANG CS DIC I";0;2;3;4;4;28;20;10;3;0;74
"24       AREA ABRANG CS DIC III";0;2;0;11;13;22;13;6;2;0;69
"25       AREA ABRANG CS EULINA";0;1;2;2;1;18;16;17;9;0;66
"26       AREA ABRANG CS FARIA LIMA";2;4;2;12;10;66;55;36;6;1;194
"27       AREA ABRANG CS AURELIA";1;2;3;10;13;39;20;26;11;2;127
"28       AREA ABRANG CS SANTA ODILA";1;0;0;1;0;2;1;3;1;0;9
"29       AREA ABRANG CS TAQUARAL";0;1;7;5;9;58;31;14;3;1;129
"30       AREA ABRANG CS BARAO GERALDO";2;2;2;13;13;106;57;31;13;0;239
"31       AREA ABRANG CS ANCHIETA";0;5;4;11;38;82;78;29;6;0;253
"32       AREA ABRANG CS SOUSAS";0;0;6;5;14;46;24;14;1;0;110
"33       AREA ABRANG CS JOAQUIM EGIDEO";0;0;0;0;0;1;0;0;0;0;1
"34       AREA ABRANG CS PEDRO DE AQUINO";1;1;2;11;11;46;20;16;6;0;114
"35       AREA ABRANG CS IPAUSSURAMA";3;3;5;8;8;23;13;9;2;0;74
"36       AREA ABRANG CS SAO MARCOS";2;9;21;40;48;164;107;28;11;0;430
"37       AREA ABRANG CS SAO CRISTOVAO";1;2;2;1;6;16;13;9;1;0;51
"38       AREA ABRANG CS CENTRO";3;0;1;5;14;91;45;33;7;2;201
"39       AREA ABRANG CS IPE";1;0;0;0;2;4;5;9;0;0;21
"40       AREA ABRANG CS PARANAPANEMA";0;1;2;4;0;22;7;16;1;0;53
"41       AREA ABRANG CS ITATINGA";1;0;4;7;9;19;17;7;0;0;64
"42       AREA ABRANG CS FLORESTA";0;6;7;9;20;29;32;17;2;0;122
"43       AREA ABRANG CS SAO DOMINGOS";0;1;4;5;6;26;13;9;0;0;64
"44       AREA ABRANG CS SANTA BARBARA";0;0;1;5;8;25;12;11;2;0;64
"45       AREA ABRANG CS VL UNIAO (CAIC)";2;0;0;5;3;14;9;8;0;0;41
"46       AREA ABRANG CS SANTO ANTONIO";4;6;9;11;20;45;25;9;1;0;130
"48       AREA ABRANG CS ITAJAI";0;1;2;7;4;34;19;8;2;0;77
"47       AREA ABRANG CS CARVALHO MOURA";2;5;7;23;34;77;44;18;0;0;210
"49       AREA ABRANG CS CASSIO RAPOSO DO AMARAL";0;0;1;0;2;8;2;0;0;0;13
"50       AREA ABRANG CS ROSSIN";6;8;12;18;31;65;51;28;6;2;227
"60       AREA ABRANG CS SATELITE IRIS I";0;0;5;5;6;17;15;8;1;0;57
"61       AREA ABRANG CS LISA";1;2;1;6;5;13;8;3;0;0;39
"63       AREA ABRANG CS CARLOS GOMES";0;0;0;0;1;0;0;0;0;0;1
"64       AREA ABRANG CS BOA ESPERANCA";1;0;3;5;2;21;18;3;0;0;53
"65       AREA ABRANG CS VILLAGE";0;1;0;0;2;4;1;2;0;1;11
"66       AREA ABRANG CS ROSALIA";4;3;17;22;23;51;49;15;4;0;188
"67       AREA ABRANG CS CAMPO BELO";2;7;26;56;73;217;116;39;6;0;542
"68       AREA ABRANG CS FERNANDA";1;1;13;26;36;123;68;34;2;0;304
"69       AREA ABRANG CS NOVA AMERICA";0;0;0;2;5;7;1;1;0;0;16
"70       AREA ABRANG CS OZIEL";0;3;8;11;10;37;21;10;1;0;101
"71       AREA ABRANG CS CAMPINA GRANDE";0;1;0;2;1;0;1;2;0;0;7
"72       AREA ABRANG CS SANTA ROSA";0;1;3;3;1;11;3;0;4;0;26
"Total";57;112;251;533;726;2498;1598;854;199;20;6848
