 INVESTIGAÇÃO DE GESTANTE HIV+ - Sinan NET
Notificacao por Bairro Resid e Fx Etaria SINAN
Período:2015
"Bairro Resid";"15-19";"20-34";"35-49";"Total"
"7        AREA ABRANG CS INTEGRACAO";0;1;0;1
"9        AREA ABRANG CS ESMERALDINA";0;1;0;1
"12       AREA ABRANG CS SAO QUIRINO";0;0;1;1
"22       AREA ABRANG CS FLORENCE";0;1;0;1
"23       AREA ABRANG CS DIC I";0;1;0;1
"24       AREA ABRANG CS DIC III";1;1;0;2
"30       AREA ABRANG CS BARAO GERALDO";0;2;0;2
"34       AREA ABRANG CS PEDRO DE AQUINO";0;1;0;1
"39       AREA ABRANG CS IPE";0;0;1;1
"40       AREA ABRANG CS PARANAPANEMA";0;1;0;1
"64       AREA ABRANG CS BOA ESPERANCA";0;1;0;1
"67       AREA ABRANG CS CAMPO BELO";0;1;0;1
"68       AREA ABRANG CS FERNANDA";0;1;0;1
"Total";1;12;2;15
