 INVESTIGAÇÃO DE MENINGITE - Sinan NET
Notificacao por Bairro Resid e Fx Etaria SINAN
Class. Final: Confirmado
Período:2015
"Bairro Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"1        AREA ABRANG CS CONCEICAO";0;1;0;0;0;0;0;0;0;0;1
"2        AREA ABRANG CS VILA RICA";0;0;0;1;0;0;0;1;0;0;2
"3        AREA ABRANG CS OROSIMBO MAIA";0;1;0;0;0;0;0;0;0;0;1
"4        AREA ABRANG CS COSTA E SILVA";0;0;1;0;0;0;0;0;0;0;1
"5        AREA ABRANG CS PERSEU L.BARROS";1;1;0;0;0;1;0;0;0;0;3
"6        AREA ABRANG CS SANTA MONICA";1;0;0;0;0;0;0;0;0;0;1
"7        AREA ABRANG CS INTEGRACAO";0;1;0;0;0;1;1;0;0;0;3
"8        AREA ABRANG CS UNIAO BAIRROS";1;1;0;0;0;0;2;0;0;0;4
"10       AREA ABRANG CS SANTA LUCIA";0;0;0;0;0;0;1;1;0;0;2
"12       AREA ABRANG CS SAO QUIRINO";0;1;0;0;1;1;1;0;0;0;4
"13       AREA ABRANG CS AEROPORTO";0;0;0;0;0;0;1;0;0;1;2
"14       AREA ABRANG CS BOA VISTA";0;0;0;1;0;0;1;0;0;0;2
"15       AREA ABRANG CS TANCREDO NEVES";0;0;0;0;0;0;1;0;0;0;1
"16       AREA ABRANG CS SAO JOSE";0;1;0;0;0;0;0;1;0;0;2
"17       AREA ABRANG CS SAO VICENTE";0;0;0;0;0;1;0;0;0;0;1
"18       AREA ABRANG CS VISTA ALEGRE";0;0;0;0;0;1;0;0;0;0;1
"19       AREA ABRANG CS VALENCA";1;0;0;0;0;0;0;1;0;0;2
"20       AREA ABRANG CS CAPIVARI";0;0;0;0;0;0;1;0;0;0;1
"21       AREA ABRANG CS 31 DE MARCO";1;0;0;0;0;0;0;0;0;0;1
"22       AREA ABRANG CS FLORENCE";1;1;0;0;0;2;0;1;0;0;5
"23       AREA ABRANG CS DIC I";0;0;0;0;0;0;1;1;0;0;2
"24       AREA ABRANG CS DIC III";0;1;1;0;0;0;0;0;0;0;2
"25       AREA ABRANG CS EULINA";0;0;0;0;0;0;0;0;0;1;1
"26       AREA ABRANG CS FARIA LIMA";1;0;0;0;0;0;0;0;1;0;2
"27       AREA ABRANG CS AURELIA";1;0;0;0;0;0;0;0;1;0;2
"28       AREA ABRANG CS SANTA ODILA";1;0;0;0;0;0;0;0;0;0;1
"29       AREA ABRANG CS TAQUARAL";1;0;0;0;0;0;1;0;0;1;3
"30       AREA ABRANG CS BARAO GERALDO";0;0;0;0;1;0;0;0;0;1;2
"31       AREA ABRANG CS ANCHIETA";1;0;1;0;0;0;0;0;0;0;2
"32       AREA ABRANG CS SOUSAS";0;1;0;0;1;0;0;1;0;0;3
"34       AREA ABRANG CS PEDRO DE AQUINO";1;1;1;0;0;0;1;0;0;0;4
"35       AREA ABRANG CS IPAUSSURAMA";2;1;0;0;0;0;0;0;0;0;3
"36       AREA ABRANG CS SAO MARCOS";1;0;0;0;0;0;0;1;1;0;3
"37       AREA ABRANG CS SAO CRISTOVAO";0;1;0;0;1;0;0;0;0;0;2
"38       AREA ABRANG CS CENTRO";1;0;2;0;0;1;1;0;1;0;6
"39       AREA ABRANG CS IPE";1;0;0;0;0;0;0;0;0;0;1
"40       AREA ABRANG CS PARANAPANEMA";0;0;0;0;0;1;0;1;0;0;2
"41       AREA ABRANG CS ITATINGA";0;0;0;0;0;0;0;1;0;0;1
"42       AREA ABRANG CS FLORESTA";0;0;0;0;0;1;0;0;0;0;1
"48       AREA ABRANG CS ITAJAI";0;0;1;0;0;0;0;0;0;0;1
"64       AREA ABRANG CS BOA ESPERANCA";0;0;0;0;0;0;0;1;0;0;1
"68       AREA ABRANG CS FERNANDA";1;0;0;0;0;0;0;0;0;0;1
"70       AREA ABRANG CS OZIEL";0;0;0;0;0;0;1;0;0;0;1
"72       AREA ABRANG CS SANTA ROSA";0;0;1;0;0;0;0;0;1;0;2
"Total";18;13;8;2;4;10;14;11;5;4;89
